id;nombre_departamento;ubicacion_departamento;presupuesto_departamento
1;merge;selfishly;damp partially utterly
2;knowledgeably limp true;fairly circumnavigate;harmful
3;injunction;kissingly;gruesome hence
4;cycle far;wherever hypothesise;brr even
5;late advanced pip;ultimately metabolite early;ha where a
6;deed unwieldy;forenenst given sophisticated;progress lazily
7;like chunter since;zowie exploration;what slope plus
8;before;next woot yearningly;jaunty
9;pro;pish yum gee;phew
10;although as notwithstanding;gastropod who;scent silently
